Key,Value
Beaver Monkey Habitat,정글의 높은 나무
Small Cliffs Habitat,낮은 절벽
Boulder Crab Habitat,심연 상층 어디에서나
Maskol Habitat,햇빛이 닿지 않는 곳
Dropbat Habitat,동굴과 터널
Monomono Habitat,버섯 숲
Feather Mole Habitat,동굴과 구멍 많은 지면
Oviparis Habitat,절벽과 고원
Insufficient Data Habitat,자료 부족
Buffalion Habitat,"평원, 들판, 초원"
Parapandion Habitat,'메아리 절벽'
Draconyl Habitat,호수와 강 주변
Tuba Bear Habitat,늪과 맹그로브 숲
Stingslug Habitat,열대우림
Upper Layer Forests Habitat,상층 숲
Hell Rat Habitat,심연의 가장 바깥쪽
Lantern Dog Habitat,키 큰 풀과 덤불
Glowtongue Habitat,연못과 호수 근처
Bulbfish Habitat,호수 바닥과 수중 해구
Saltwater Habitat,바닷물
Maniaruk Habitat,정글
Cognivil Habitat,동굴
Plains & Plateaus Habitat,평원과 고원
Masked Howler Habitat,깊은 절벽
Greatshell Habitat,심연의 평원
Cavemaw Habitat,비좁은 공간
Head Piercer Habitat,암흑의 심층
Neuromefos Habitat,
Former Human Habitat,'길 잃은 영혼의 숲'
Doesn't Exist in the Wild Habitat,야생에는 존재하지 않음
Marter Habitat,넓은 들판
Wood Habitat,숲이 우거진 지역
Dipteranae Habitat,지하의 열원 근처
Phiopoda Habitat,얼음 동굴
Furball Habitat,물가
Snowy Regions Habitat,설원 지대
Snowy Moutains Habitat,설산
Swampy Ponds Habitat,늪지 연못
Abyssal Skies Habitat,심연의 하늘
Snowy plains habitat,눈 덮인 평원
Ant Habitat,지표 부근의 개미집
Frozen Caves Habitat,얼어붙은 동굴
Tumorous Fields Habitat,종양 들판
Underwater Trenches Habitat,수중 해구
Hadal Forests Habitat,초심해 숲
Deep Regions Habitat,심층 지역 어디에서나
Deep Underground Lakes Habitat,깊은 지하 호수
Deepest Jungles Habitat,가장 깊은 정글
Bottom of the Abyss Habitat,심연의 밑바닥
Silver Beetle Habitat,이끼 낀 바위 아래
Snow Kangaroo Habitat,눈 덮인 외곽
Skrimp Habitat,호수와 연못의 수면
Doesn't seem to exist in the wild habitat,야생에는 존재하지 <i>않는 듯함</i>
Pinky Habitat,깊은 터널
Narrow Tunnels Habitat,좁은 터널
Near Lakes and Rivers Habitat,호수와 강 근처
Lakes Habitat,호수
Flower Field Habitat,꽃밭
Open Expanses Habitat,탁 트인 벌판
Upper Layers Habitat,상층 지역
Saltwater Shored and Beaches Habitat,바닷가와 해변
