Key,Value
Lantern Dog,랜턴 독
Unknown Creature,정체불명의 크리처
Test CREATURE,테스트 크리처
Buffalo Lionfish,버팔리온
Climbing Monkey,알피노
Heat Tiger,히트 타이거
Beaver Monkey,비버 몽키
Rat,헬 랫
Branch Lizard,미미랑
Eggnaper,오비파리스
Windbird,윈드걸
Hornet,실버 호넷
Poop Monkey,모노모노
Snakefish,배트피시
Smiling Worm,그림조
Stingslug,스팅슬러그
Monkey Eater,마니아룩
Boulder Crab,볼더 크랩
Walrus Fish,월러스 피시
Tailmouth,네이키드 웜뉴트
Strider,나이트워커
Pink Primate,할로우 에이프
Pachi,파치
Plant of Might,완력의 식물
Greatshell,그레이트셸
Spikeface,헤드 피어서
Terrorbird,덕눅
Shield Ram,아스피세로스
Tentacle Face,트렌치 크롤러
Lighteye,라이트브링어
Dropbat,드롭배트
Swampbear,튜바 베어
Swordbird,소드버드
Sporeplant,스포어플랜트
Spongeface,트리포그나스
Dragonfish,드라코닐
Arrowface,타이드위버
Tentacle Brain,뉴로메포스
Maw,케이브모
Feather Mole,페더 몰
Deimatic Fish,피카프
Water Collector Bird,워터웨리
Twilight Princess Monster,마스콜
Cyclops Frog,아가릭 프로그
Light Shark,샤이니트레일 샤크
Mini Sunflower,심연의 연꽃
Silky Spidersnail,실크 비틀
Glowtongue,글로우텅
Final Boss,심연의 눈
Abomination,흉물
Horned Beast,울리 타마라우
Stingdog,트리코달 하이에나
Jewel Dragon,크리스탈론
Megatail,아이언테일 샐러맨더
PIllar Pole,필러 폴
Abyss Demon,심연의 악마
Mushroom Salamander,슈룸자드
Sonar Bird,파라판디온
Bulbous Fish,벌브피시
Jojo Beast,마스크드 하울러
Jellymim,젤리밈
Scaly Dragon,스케일리 드래곤
Tree Branch Head,코그니빌
Eye Tentacles,침묵하는 자
Devil's Advocate,케라비틀
Spiky Tongue,스왐프 비스트
Spinehog,스파인호그
Tentacle,촉수
Tyranorat,티라노랫
Former Human,옛 인간
Lantern Hound,랜턴 하운드
Arachnotongue,아라크노텅
Fused Abomination,아말가메이트
Amalgamate,아말가메이트
Minihippo,히포니무스
Spider,딥테라네
Brown Marter,브라운 마터
Silver Marter,실버 마터
Snowpusher,폴로
Weeper,딥 위퍼
Cross Bear,구무르사
Spiral Panda,피오포다
Moose,심연의 거대 엘크
Fur Ball,퍼블
Eye Tongue,텅 바이터
Shell Cat,셸 캣
Shell Panther,셸 팬서
Quetzi,퀘치
Quetzarion,퀘차리온
Lumi,루미
Lumi Swarm,루미 무리
Blood Grub,블러드 그러브
Blood Angel,블러드 엔젤
Bell Rat,벨 랫
Rocky devil,로키 데블
Furball Evolution,가짜 예티
Bull Weevil,불 위블
Colossal Clawed Spider,거대 집게거미
Escarneige,슬러셔
Nostroptere,노스트롭테라
Nenukwak,릴리 구스
Carnitrap,카니트랩
Cervibois,루나 프롱혼
Polar Monitor,폴라 모니터
Deer,천년 사슴
Ascending Whale,태드웨일
Whale Evolution,스카이 웨일
Ice Starter Evolution,얼음 시작 크리처 진화체
Former Pioneer,옛 개척자
Fetus Fruit,심연의 태아
Mummified Teammates,미라가 된 동료들
Human Face,캐즘 호러
Abyssal Colossus,심연의 거신
Blood Dog,플레시본
Fox,고스트 폭스
Shadow Moth,섀도 모스
Perfect Son,완벽한 아들
Abominable Son,흉측한 아들
Son of the Abyss,심연의 아들
Elder Tongue Biter,장로 텅 바이터
Greatkrill,{greatshell_name} 크릴
Orphan Colony,고아 군체
Living Tumor,살아 있는 종양
Starter Ant,자수정 개미
Ant Evolution,수정 드래곤말벌
Oyster Monster,카르코플리드
Starter Chicken,제로도도
Detector Rat,디텍터 랫
Chicken Evolution,제로그리핀
Starter Crab,스컬 크랩
Aquatic DL4,검은 인어
Grazer,미트그레이저
White Reaper,화이트 리퍼
Coocoo,쿠쿠
Land Eel,니들팽
Namorphid,나모르피드
Bronto,티타노로스
Xiphonoir,지포누아르
Specimen,표본 065B
Silver Beetle,실버 비틀
Sand Leviathan,샌드 레비아탄
Aberration Y,변이체 Y
Aberration X,변이체 X
Aberration Z,변이체 Z
Ray Squirrel,마라푸
Syringe Hamster,치추야
Snow Kangaroo,킬리마로
Snow Starter Evolution,가르고로
Fayardam,파야르담
Crookpoach,크룩포치
Tusked Gecko,터스크드 게코
Leposiodon,레포시오돈
Gazebud,게이즈버드
Ancient One,고대의 존재
Wolfuwa,울푸와
Endless Abomination,심해의 공포
Candy Ram,캔디 램
Snail,사이카티나
Skrimp,스크림프
Aberration Omega,변이체 Ω
Mad Surgeon,미친 외과의
Aberrant Hound,변이 하운드
Experimental Pod,실험용 포드
Pinky,글라보락스
Craboid,크레이조어
Panther,반타 팬서
Crocodile,카이카이
Lizard Paracer,로포테리움
Turtle,토르토아
Rhino,라이노타우루스
Crawler,바스쿨리스
Poison Reptile,자란
Monarch Sloth,모나크 슬로스
Giraffe,파시어
Hivebearer,하이브베어러
Dolphin,플레이티드 바키타
Anemonis,아네모니스
Scorpion,루미노스코르피우스
Donkey,타이거 지브라
Mulaba Ray,물라바 레이
Protector,멜루르수스
Centipede,스포티드 기가포드
Unicorn,헤미오닉 나왈
Bee Mammal,타파미르
Bloatfly,블로트플라이
Ouroboros,우로보로스 일
Chompillar,촘필러
Detritus Sweeper,오르카릴
Equinos,에퀴노스
Rocky Dino,온세노사우르
Stonepecker,스톤페커
Urtico,우르티코
Stone Larva,돌 애벌레
Palm Tree,세레우스 레기아
Bubonic Dragon Olm,선페스트 드래곤올름
Capybara,울루파라
Porpid,포르피드
