Key,Value
Empty Vessel,옛 인간
Menacing Presence,"싸울 것인가, 달아날 것인가"
Rest Site,휴식처
Mushroom,기묘한 버섯
Hunting Grounds,사냥터
Duplicate Creature,복제의 꽃
Status Items,아이템 채집
Serum,돌연변이 민달팽이
Egg,둥지
Mystery Trade,수수께끼의 교환
Golden Scarab,황금 딱정벌레
Oasis,젊음의 식물
Safari,먹이 미끼
Fuse Creature,융합
Random Essence,주사기 상자
Ability Duplicator,능력 복제기
Extra Heal,남은 음식
Revival,귀환자
Laboratory,잊힌 연구소
Red or Blue Event,선택
Reinforcements,구애
Tree of Balance,균형의 나무
Feast,연회
Experimental Syringe,실험용 주사기
Silver Beetle,실버 비틀
Phantom Matter,유령 물질
Metabolism Shift,대사 전환
Special Foraging,특별 채집
Infinite Syringe,무한 주사기
Mix and Match,반전
Aberration,변이체
