Key,Value
Vanilla Description,게임의 기본 규칙으로 플레이합니다.
Endless Description,"심연에는 끝이 없고, 깊이 내려갈수록 야생 크리처는 강해집니다... 과연 어디까지 도달할 수 있을까요?"
Cursed Mode Description,크리처를 길들일 때 저주가 붙습니다.
No Retreat Description,피리를 사용해 카드를 후퇴시킬 수 없습니다.
Limited Tames Description,한 번의 탐사에서 크리처를 X마리만 길들일 수 있습니다. 실패한 시도는 횟수에 포함되지 않습니다.
Tames Left text,남은 길들이기: {number}회
No Taming Description,매 전투 후 X마리의 크리처 중 하나를 덱에 추가합니다. 먹이로 길들일 수 없습니다.
Critical Hits Description,모든 기술이 X% 확률로 치명타(+2 피해)를 줍니다.
No Healing Description,길들이기 중인 경우를 제외하면 전투 중 회복량이 0이 됩니다.
Boss Rush Description,모든 보스와 차례로 연전을 벌입니다.
