Key,Value
No Taming,{icons.gm_notame} 길들이기 금지
Endless,{icons.gm_endless} 무한
Cursed,{icons.gm_cursed} 저주받은 탐사
Random Deck,{icons.gm_random} 무작위 덱
Panic Mode,{icons.gm_panic} 패닉 모드
Single Food,{icons.gm_singlefood} 단일 먹이
All Limited Use,{icons.gm_limiteduse} 모든 기술 횟수 제한
Limited Tames,{icons.gm_limitedtame} 길들이기 제한
Limited Lanes,{icons.gm_limitedlanes} 라인 제한
Best Of,{icons.gm_bestof} 최강 선별
Boss Rush,{icons.gm_bossrush} 보스 러시
Critical Hits,{icons.gm_criticalhit} 치명타
Handcrafted Deck,{icons.gm_handcrafteddecks} 맞춤 덱
No Retreat,{icons.gm_noretreat} 후퇴 금지
No Moving,{icons.gm_nomove} 이동 금지
No Healing,{icons.gm_noheal} 회복 금지
Vanilla,일반 탐사
