Key,Value
Does Nothing,아무 일도 일어나지 않습니다...
Extra Damage for Allies of DL1,위험도 1{icons.danger_star}인 아군 하나당 추가 피해를 1 줍니다.
Hits First,선제공격.
Hits All Lanes,전 라인 공격을 합니다.
Draws X Cards,카드를 {number}장 뽑습니다.
Targets Other Lanes,맞은편 적을 공격하지 않습니다. 대신 다른 라인의 적을 대상으로 삼습니다.
Self-Heal,자신의 체력을 {number}{icons.hp} 회복합니다.
Heals its Team,팀의 체력을 {number}{icons.hp} 회복합니다.
Hits X Times,{number_of_times}회 공격합니다.
Extra Damage if Target is Faster,대상이 <u>더 빠르면</u> 추가 피해를 {damage_number} 줍니다.
Gives X Token to the Ally to its Right,오른쪽 아군에게 {number}{stat}을(를) 부여합니다.
Extra Damage if Target is Slower,대상이 <u>더 느리면</u> 추가 피해를 {damage_number} 줍니다.
Cures its Team,팀의 모든 부정 효과를 제거합니다.
Toxic Fart,모든 크리처에게 {number}{token}을(를) 부여합니다.
Falls Asleep,수면 {icons.sleep}에 빠집니다.
Treachery,"모든 아군에게 {icons.defense_minus}을(를) 부여하고, 자신은 4 {icons.attack_plus}을(를) 얻습니다."
Blood Ritual,자신에게 피해를 {damage_number} 줍니다. {number}{token}을(를) 얻습니다.
Hits Last,후공.
Inflicts X Token if Target is Slower,대상이 <u>더 느리면</u> 대상에게 {number}{token}을(를) 부여합니다.
Inflicts X Token,대상에게 {number}{token_name} 효과를 부여합니다.
"Inflicts X Token1 to Itself, Gains X Token2",<u>자신</u>에게 {number1}{token1}을(를) 부여합니다. {number2}{token2}을(를) 얻습니다.
Vilespores,모든 적에게 {icons.speed_minus}와(과) {icons.attack_minus}을(를) 부여한 뒤 수면 {icons.sleep}에 빠집니다.
Gains X Token this Turn Only,이번 턴에만 {number}{token_name}을(를) 얻습니다.
Revitalization,인접한 크리처의 부정 효과를 모두 제거하고 4 {icons.armor}을(를) 부여합니다.
Resurgence,팀의 부정 효과를 각각 1 {icons.attack_plus}(으)로 바꿉니다.
Removes Positive Effects,대상의 모든 긍정 효과를 제거합니다.
Doubles Positive Effects of its Team,팀의 긍정 효과를 2배로 만듭니다.
Frenzy,이 공격으로 대상을 죽이면 이 기술을 다시 사용합니다.
Toxin Rush v2,크리처 하나라도 중독 {icons.poison} 상태라면 전 라인 공격을 합니다.
Gains X Token,{number}{token}을(를) 얻습니다.
Target Falls Asleep,대상이 수면 {icons.sleep}에 빠집니다.
Inflicts X Token1 and X Token2 to Itself,자신에게 {number1}{token1}와(과) {number2}{token2}을(를) 부여합니다.
Damages Itself,자신에게 피해를 {damage} 줍니다.
Magnify,이번 턴에 아군이 이미 {magnify_name}을(를) 사용했다면 추가 피해를 7 줍니다.
Mushroom Madness,자신의 부정 효과를 제거합니다. 제거한 효과 하나당 1회 추가로 공격합니다.
Strange Scent,보드 위의 모든 {icons.attack_minus}와(과) {icons.speed_minus}을(를) 서로 바꿉니다.
Extra Damage For Each Token,{token} 하나당 추가 피해를 {multiplier} 줍니다.
Triple Damage if Target has Token,대상에게 {token}이(가) 있으면 피해를 3배로 줍니다.
Nanotoxin,중독 {icons.poison} 상태인 모든 적에게 2 {icons.poison}을(를) 부여합니다.
Repeated Strike,남은 전투 동안 이 기술의 피해가 1 증가합니다.
Entrench,"턴 종료 시, 2턴 동안 팀에 2 {icons.defense_plus}와(과) 2 {icons.attack_minus}을(를) 부여합니다."
Inflicts X Token to Itself,자신에게 {number}{token_name}을(를) 부여합니다.
Hits X Times if Target has Token,대상에게 {token_name}이(가) 있으면 {number_of_times}회 공격합니다.
Inflicts X Token for X turns,{number_turns}턴 동안 대상에게 {amount}{token_name}을(를) 부여합니다.
Extra Damage if Target Has Token,대상에게 {token_name}이(가) 있으면 추가 피해를 {damage} 줍니다.
Dumb Strike,이 크리처에게 특성이 없으면 추가 피해를 2 줍니다.
Absorb,이 공격으로 대상을 죽이면 대상의 특성을 영구히 얻습니다.
Acquired State,대상의 모든 긍정 효과를 빼앗습니다.
