Key,Value
Bite,물어뜯기
Feast,채혈
Idle,대기
Slap,물의 따귀
Flock Attack,무리 공격
Quick Nib,날쌘 할퀴기
Suction Cups,흡착판
Body Slam,몸통박치기
Decimation,죽음의 길
Branch Drop,나뭇가지 떨구기
Stinger Charge,독침 돌진
Sting,쏘기
Poop Throw,똥 던지기
Poop Taunt,똥 도발
Punch,주먹질
Deadly Sting,죽음의 독침
Lazy Strike,게으른 일격
Fruit Growth,열매 성장
Crush,짓누르는 무게
Spiky Slam,가시 박치기
Dual Stab,쌍날 찌르기
Burning Bite,불타는 이빨
Earthquake,지진
Bash,강타
Obliteration,말살
Scratch,할퀴기
Pierce,꿰뚫기
Bloom,개화
Siphon Soul,영혼 흡수
Cleave,천공 일격
Psychic Blast,정신 폭발
Gaping Mouth,아가리 벌리기
Shell Regrowth,껍질 재생
Scavenge,주워 먹기
Flurry,난타
Trap Fangs,덫니
Jumpscare,깜짝 습격
Trap Beak,덫부리
Morale Boost,사기 진작
Toxic Fart,맹독 방귀
Deadly Bite,치명적인 이빨
Hydrostrike,급류 강타
Cure,치유의 노래
Venomous Bite,맹독 이빨
Overpower,압도
Wind Gust,돌풍
Treachery,배신
Blood Ritual,피의 의식
Peck,쪼기
Enlighten,깨우침
Glow-Lick,발광 혓바닥
Tongue Wiggle,혀 놀리기
Aerostrike,공중 일격
Heavy Bite,묵직한 이빨
Piercing Beak,관통 부리
Lullaby,자장가
Swift Bite,재빠른 이빨
Quick Slam,번개
Infection,감염
Rollball,구르기
Neurotoxin,신경독
Bone Breaker,뼈 파괴자
Landing,착지
Double Bite,연속 물기
Vilespores,악성 포자
Furious Claws,성난 발톱
Weak Bite,약한 이빨
Block,막기
Rest,휴식
Calamity,대재앙
Annihilation,섬멸
Revitalization,활력 회복
Impending Doom,다가오는 파멸
Resurgence,재기
Predation,포식
Knockdown,넘어뜨리기
Crystal Surge,수정 쇄도
Frenzy,광란
Giga Sting,기가 독침
Encouragement,격려
Cover,엄호
Metabolize,독소 쇄도
Maneuver,기동
Hypnocry,최면 울음
Last Resort,최후의 수단
Organ Explosion,알 폭발
Magnify,증폭
Mushroom Madness,증기 정화
Sticky Spores,끈끈한 포자
Strange Scent,기묘한 향기
Sharpen,날 세우기
Scale Charge,비늘 돌진
Biotoxic Swipe,생체독 휘두르기
Nanotoxin,전이
Repeated Strike,연속 타격
Tail Swipe,꼬리 휘두르기
Entrench,참호 구축
Blind Rage,맹목적 분노
Staredown,기선 제압
Execute,처형
Echo,메아리
Charm,매혹
Dumb Strike,우둔한 일격
Needle Tail,바늘 꼬리
Assimilate,흡수
Acquired State,후천적 상태
Tailwind,순풍
Violent Headbutt,뇌진탕
Toxic Wave,맹독 파도
Hit and Hide,치고 숨기
Poisoned Gift,독이 든 선물
Momentum,가속도
Sprinting Tackle,전력 태클
Suicide Sting,자살 독침
