Key,Value
Undo Amount Per Battle Challenge Title,전투당 되돌리기 횟수
"Encounter Choice Rerolls Challenge Title
",조우 선택지 새로고침
"Heal Before Boss Challenge Title
",보스전 전 회복
Boss Strength Challenge Title,보스의 강함
"Heal Between Battles Challenge Title
",전투 사이 회복
"Starting Items Challenge Title
",시작 아이템
Item Rewards Challenge Title,아이템 보상
Syringe Damage Challenge Title,주사기 피해
Enemy Strength Challenge Title,적의 강함
Taming Chance Challenge Title,길들이기 확률
Heal on Tame Challenge Title,길들이기 성공 시 회복
Starter Choice Challenge Title,시작 크리처 선택
Permadeath Challenge Title,크리처 영구 사망
