Key,Value
Encounter 1 Part 1,"오늘, 심연의 밑바닥을 향한 원정이 시작된다."
Encounter 1 Part 2,시작부터 순조롭다! 내 곁을 좋아하는 듯한 크리처 무리를 곧바로 발견했다. 어디를 가든 나를 따라온다!
Encounter 1 Part 3,야생 크리처가 언제나 이렇게 친절하지는 않겠지만 마음이 놓인다.
Encounter 1 Part 4,그런데 저쪽 크리처들은 그리 우호적으로 보이지 않는다. 첫...
Encounter 2 Part 1,크리처들은 잘 싸웠다. 꾸준한 속도로 내려가고 있다.
Encounter 2 Part 2,기압계에 따르면 깊이는 <u>{depth}</u>미터다. 이 부근은 크게 위험하지 않겠지만 방심해서는 안 된다.
Encounter 2 Part 3,크리처 무리가 다가온다. 몇 마리는 길들여 볼 수도 있겠지... 어쨌든 이 구덩이의 바닥을 보려면...
Encounter 3 Part 1,현재 깊이는 <u>{depth}</u>미터. 이제 심연 외곽을 벗어났다는 뜻이다.
Encounter 3 Part 2,포근했던 꽃밭은 빽빽한 초목으로 바뀌었다.
Encounter 3 Part 3,"이곳에는 생명이 놀라울 만큼 풍부하지만, 그 모습은 완전히 낯설다."
Encounter 3 Part 4,또 다가온다. 이제...
Encounter 4 Part 1,기압계에 따르면 깊이는 <u>{depth}</u>미터. 이곳은 정말 불안한 기분이 든다...
Encounter 4 Part 2,게다가 이 정글은 앞서 지나온 탁 트인 들판보다 헤쳐 나가기가 훨씬 어렵다. 앞으로 무엇이 기다릴지는 생각하지 않으려 애쓰고 있다.
Encounter 4 Part 3,크리처 몇 마리가 나를 기습하려 한다. 선택의 여지 없이...
Encounter 5 Part 1,"깊이 <u>{depth}</u>미터에서 마침내 정글을 벗어났다. 다시 탁 트인 곳, 메마른 절벽 한가운데에 서 있다."
Encounter 5 Part 2,지금까지 겪은 어떤 곳보다 확실히 가혹하다. 앞으로 만날 크리처는 더 위험해질 수밖에 없겠지.
Encounter 5 Part 3,돌이켜 보면 정글도 그리 나쁘지는 않았던 것 같다...
Encounter 5 Part 4,크리처 몇 마리가 다가온다. 이제...
Encounter 6 Part 1,현재 깊이 <u>{depth}</u>미터. 이 절벽이 몸을 갉아먹고 있다.
Encounter 6 Part 2,지금 생각해 보면 무엇이 기다리는지 전혀 모르고 있었다.
Encounter 6 Part 3,가끔 크리처들이 앞으로 닥칠 무언가로부터 나를 지키려는 것처럼 느껴진다. 이런 어리석은 생각은 하지 않는 편이 낫다.
Encounter 6 Part 4,호랑이도 제 말 하면 온다더니... 크리처들이 다가오고 있다. 이제...
Encounter 7 Part 1,절벽을 빠져나왔다.
Encounter 7 Part 2,"믿기 어려울 만큼 깊다. <u>6,300</u>미터도 넘게 내려왔다. 이제 내가 왜 이 일을 하는지도 모르겠다..."
Encounter 7 Part 3,어둠 속에 놈들이 있다는 것을 안다. 내게 슬금슬금 다가오고 있다. 그런데도 이 짐승들의 아름다움에 감탄하지 않을 수 없다.
Encounter 7 Part 4,"내가 강해진 걸까, 아니면 완전히 미쳐 버린 걸까?"
Encounter 7 Part 5,어느 쪽이든 달라질 것은 없다. 내가 할 수 있는 일은 오직...
