Key,Value
Abyss Lotus Fun Fact,심연의 얕은 곳에서만 빛을 낸다.
Agaric Frog Fun Fact,커다란 귀는 체열을 발산하는 데도 쓰인다.
Alpino Fun Fact,절벽을 오르며 세로로 선 채 잠드는 경우가 많다.
Aspiceros Fun Fact,아스피세로스는 부모를 잃은 울리 타마라우를 입양하기도 한다.
Batfish Fun Fact,이론상 지상까지 날아갈 수 있지만 결코 그러지 않는다.
Beaver Monkey Fun Fact,새처럼 둥지를 짓는다.
Boulder Crab Fun Fact,한번 구르기 시작하면 스스로 멈추지 못해 단단한 표면에 전속력으로 부딪힌다.
Buffalion Fun Fact,특유의 비린내가 난다.
Bulbfish Fun Fact,물의 온도가 낮을수록 알이 작아진다.
Cavemaw Fun Fact,촉수를 동굴 깊숙이 뿌리내려 물속을 포함한 동굴 안의 모든 움직임을 감지할 수 있다.
Cognivil Fun Fact,코그니빌 곁에 너무 오래 머물면 목소리가 들리기 시작한다.
Crystalon Fun Fact,침에는 소독 효과가 있다.
Draconyl Fun Fact,대개 수면에 떠서 휴식한다.
Dropbat Fun Fact,지상의 박쥐와 달리 드롭배트는 알을 낳는다.
Ducknuk Fun Fact,적외선 영역을 볼 수 있다.
Feather Mole Fun Fact,깃털은 오염되거나 젖지 않게 해 주는 특수한 기름으로 덮여 있다.
Glowtongue Fun Fact,"등에는 가시가 5,000개 넘게 돋아 있다."
Grimjaw Fun Fact,소리에 매우 민감하며 규칙적인 진동이나 높은 음을 들으면 화를 낼 수 있다.
Greatshell Fun Fact,"1,000마리 중 한 마리는 파란색이다."
Head Piercer Fun Fact,먹잇감 위를 천천히 걸어가며 피부로 영양분을 흡수한다.
Heat Tiger Fun Fact,고기는 다소 질기고 누린내가 나지만 익히지 않고도 먹을 수 있다.
Hell Rat Fun Fact,헬 랫의 이빨은 정확히 128개 아니면 256개다.
Hollow Ape Fun Fact,가슴의 구멍은 수컷이 더 크다.
Irontail Salamander Fun Fact,가끔 꼬리를 스스로 떼어 낸다.
Jellymim Fun Fact,눈을 제외한 모든 부위에 독이 있다.
Kerabeetle Fun Fact,암컷이 있으면 침을 흘린다.
