Key,Value
Meat,고기
Berry,열매
Fish,생선
Fruit of Might,완력의 열매
Prime Meat,최상급 고기
Prime Fish,최상급 생선
Sweet Berries,달콤한 열매
Talent Essence,특성 에센스
Move Essence,기술 에센스
Medicinal Herb,약초
Special Flower,영양 꽃꿀
Empty Syringe,빈 주사기
Mediocre Herb,변변찮은 약초
Honey,꿀
Pseudo-Water,기생수
Mud Ball,진흙 공
Scale,비늘
Wind Feather,바람깃
Stinkberry,악취 열매
Glowing Substance,발광 물질
Kofa Beans,코파콩
Rock,돌
Leaf Whistle,나뭇잎 피리
Reno Bean,레노콩
Milk,우유
Poison Bug,독벌레
Narcotulip,마취튤립
Emberfly,불씨파리
Egg,알
Charm Petal,매혹의 꽃잎
Armor Item,엄니 가루
Blood,피
Refresh Limited Use Item,달고사리 잎
Weeper Corpse,딥 위퍼의 사체
Weeper Heart,딥 위퍼의 심장
Secret Formula,비밀 조제법
Golden Syringe,황금 주사기
Reinforced Syringe,강화 주사기
Cursed Essence,저주받은 에센스
Mutated Meat,변이 고기
Mutated Berry,변이 열매
Mutated Fish,변이 생선
Meat Treat,육포
Fish Treat,날새우
Berry Treat,심연 당근
Chyme,유미즙
Aberration Disabler Item,비상용 가스
