Key,Value
Damage Token,공격 피해가 1 증가합니다.
Slow Token,속도가 1 감소합니다.
Vulnerable Token,공격에 맞을 때 피해를 1 더 받습니다. 중독 {icons.poison} 피해는 제외됩니다.
Weak Token,공격 피해가 1 감소합니다.
Sturdy Token,공격에 맞을 때 피해를 1 덜 받습니다. 중독 {icons.poison} 피해는 제외됩니다.
Sleep Token,1턴 동안 기술을 사용할 수 없으며 {torpidity_name} {icons.torpidity}에 면역이 됩니다.
Speed Token,속도가 증가합니다.
Can't be stacked,이 효과는 중첩되지 않습니다.
Swift Token,모든 기술이 우선권을 얻어 먼저 공격합니다.
Protection Token,다음에 받는 피해를 1로 줄입니다.
Sluggish Token,모든 기술이 마지막에 공격합니다.
Dizzy Token,후퇴할 수 없습니다.
Charmed Token,길들이기 확률이 2배가 됩니다.
Observed Token,부정 효과입니다. {icons.observed}이(가) 2 이상인 크리처는 즉시 죽습니다. 보스에게는 통하지 않습니다.
New Poison Token,턴이 끝날 때 {icons.poison} 하나당 피해를 1 줍니다. 피해를 준 뒤 1 감소합니다.
Detected Token,"이 크리처가 ""{move_name}"" 기술의 대상이 될 수 있습니다."
Armor Token,추가 체력처럼 작용합니다.
Torpidity Token,{amount}까지 쌓이면 모두 사라지고 크리처가 수면 {icons.sleep}에 빠집니다.
Taming Attempt,"이 크리처를 길들이는 데 실패했지만, 조금씩 마음을 열기 시작했습니다. 길들이기 확률이 증가합니다!"
Impeded Token,영향받은 크리처는 더 이상 {move_name} 기술을 사용할 수 없습니다. (남은 턴: {turns_left})
Detected Token v2,"이 크리처가 ""{move1_name}"" 또는 ""{move2_name}"" 같은 특정 기술의 대상이 될 수 있습니다."
Mind Control Token,적이 이 크리처를 조종하고 있습니다! 효과가 끝나면 되돌아옵니다.
Flawless Token,상대를 쓰러뜨리기 위해 끊임없이 새로운 능력을 익힙니다!
Disable All Talents Token,이 크리처의 모든 특성이 비활성화됩니다!
Aberration Disabler,기술을 사용할 수 없고 모든 특성이 비활성화됩니다. 기회는 지금뿐입니다!
Can't be stolen,빼앗거나 강제로 제거할 수 없는 효과입니다.
Stays on retreat,크리처가 후퇴해도 유지되는 효과입니다.
