Key,Value
Chapter 3 Content,"  <b>4일째</b>

심연에서 보낸 첫 며칠은 사건의 연속이었다. 거의 도착하자마자 {hell_rat_name} 무리와 귀여운 {lantern_dog_name} 한 마리를 길들이고 기록하는 데 성공했다.

그 뒤 가장 중요한 목표는 물을 찾는 일이었다. 다행히 북쪽 언덕의 강가에서 그늘진 틈을 발견했다. {walrus_fish_name}도 몇 마리 잡았고, 이전에는 기록된 적 없던 식용 가능 여부까지 확인했다!

식량과 물을 비축하고 나서야 마침내 한숨 돌릴 수 있었다. {lantern_dog_name}은(는) 충직한 친구가 되었다. 어둠 속에서 등불을 밝혀 내가 바로 이 글을 쓰는 것까지 돕는다."
Chapter 4 Content,"  <b>15일째</b>

계속 내려가면서 가파른 지형을 지날 때는 믿음직한 {alpino_name}에게 몸을 맡겼다. 몇 시간 뒤 정글 외곽에 도착하자 {ghost_fox_name} 무리가 나타났다. 그런데... 무슨 이유에서인지 나를 비웃고 있었다. 불운을 불러온다는 말도 있지만 나는 그런 미신을 믿지 않는다.

이상하게도 크리처들이 소란을 피우며 더 가기를 거부하기 시작했다. 대체 무슨 일이지? 지금까지는 늘 내 말을 들었는데... 설마 {ghost_fox_name}에 관한 소문이라도 믿는 건가? 억지로 따라오게 해야 했다.

기묘한 소리가 들린다. 나중에 계속 써야겠다..."
Chapter 2 Content,"  <b>나에 대하여</b>

나는 야생 생존 경험을 갖춘 생물학자다. 겸손히 말하자면, 누구보다 깊이 들어가 심연을 기록할 능력이 있다고 생각한다.

지금까지 이곳을 탐사한 자들은 첫 50미터만 '기록'하고 지상으로 황급히 돌아가는 겁 많은 과학자이거나, 밑바닥을 향해 곧장 뛰어든 뒤 영영 소식이 끊긴 모험광뿐이었다.

내 목표는 깊이 내려갔다가 안전하게 귀환하여, 인류가 이곳을 본격적으로 탐사할 수 있도록 확실하고 상세한 기록과 보고서를 남기는 것이다. 소문으로만 전해지는 크리처가 실제로 존재하는지도 확인할 것이다."
Chapter 1 Content,"  <b>심연에 대하여</b>

몇 년 전, 폭이 수십 킬로미터에 이르고 깊이는 알 수 없는 거대한 분화구가 발견되었다. 바로 <i>심연</i>이다. 이곳의 환경은 돌연변이를 매우 강하게 유발하는 듯하며, 깊이 내려갈수록 더욱 기괴해지는 완전히 낯선 동식물이 서식한다.

예상대로 많은 탐험가가 몰려들었지만 원시적인 장비와 흔히 부족한 실력 탓에 아직 제대로 기록된 바가 없다. 당연하게도 소문은 무성하다. 밑바닥에 잠든 막대한 재물, 거대 괴물, 신화 속 존재에 관한 이야기가 흔해 빠졌다. 재미있는 이야기지만, 누군가는 진실을 밝혀야 한다."
Chapter 5 Content,"  <b>15일째: 2</b>

할 말을 잃었다. 지진이 산사태를 일으켰다. 발을 헛디뎠고 정신을 차려 보니 팔을 짓뭉갠 바위 아래에 깔려 있었다.

바위를 옮기려고 온갖 방법을 써 봤지만 {lantern_dog_name}, {hell_rat_name} 무리, {alpino_name}이(가) 모두 힘을 합쳐도 꿈쩍하지 않는다.

설상가상으로 배낭과 보급품은 손이 닿지 않는 곳에 있다. 무슨 짓을 하고 뭐라고 말해도 이 멍청한 크리처들은 가져다줄 생각을 하지 않는다. 벌써 입이 마르기 시작했다. 방법을 찾아야 한다."
Chapter 6 Content,"  <b>18일째</b>

사흘째 이곳에 갇혀 있다. 크리처들은 내 배낭 속 먹이를 모조리 먹어 치우는 것 말고는 할 일이 없는 모양이다. 입이 너무 말라 명령조차 내릴 수 없었다. 다친 팔에서 악취가 올라온다. 좋지 않다.

이렇게 끝나는 건가. 누구보다 멀리 나아가겠다고 썼던가? 우스운 소리다. 나는 여기서 가장 비참하게 죽을 것이다. 남는 것이라곤 다른 누군가의 비웃음거리가 될 초라한 시체뿐이겠지.

이제 {lantern_dog_name}마저 나를 떠난다. 그럴 줄 알았다. 먹이가 없으니 충성심도 없군. 쓸모없는 잡종. 조금만 더 강했다면 나를 구해 줬을 텐데. 잘 가라지."
Chapter 9 Content,"  <b>19일째</b>

목이 말라 죽어 가던 중 {waterwary_name}을(를) 따라 강을 찾아냈다. 물을 실컷 마시고 상처도 씻었다. 열매와 먹을 수 있는 뿌리를 중심으로 식량도 구했다.

앞서 내 개를 잘못 판단했다는 사실을 인정해야겠다. 상상했던 것보다 훨씬 충직하며, 나는 녀석에게 목숨을 빚졌다... 이제는 깊은 애착마저 느낀다.

하지만 그 주사기가 머릿속에서 떠나지 않는다. 혈액 표본을 채취하려고 빈 주사기를 몇 개 가져왔는데, 이 아래에서는 훨씬 대단한 용도가 있을지도 모른다. 주입 후 {alpino_name}은(는) 강력한 동료가 되었지만, 한편으로는 냉담해지고 장난기도 완전히 사라졌다..."
Chapter 10 Content,"  <b>31일째</b>

비극적이게도 {alpino_name}이(가) 밤중에 습격한 {nostroptera_name}에게서 우리를 지키다 죽었다. 두 번이나 내 목숨을 구해 줬다. 그 희생을 잊지 않을 것이다.

말할 필요도 없이 심연은 점점 더 적대적인 곳으로 변한다. 홀로 있던 {batfish_name}을(를) 비롯해 많은 크리처를 길들여야 했다. 재주를 몇 가지 가르치자 내 개와 가까워졌고, {alpino_name}을(를) 잃은 슬픔도 조금은 누그러졌다. 이제 이 크리처들이 내게 가족과 가장 가까운 존재라는 사실을 깨달았다.


마지막으로 먼 고지에서 {aspiceros_name} 두 무리가 다음 목적지인 아래쪽 평원에서 충돌하는 모습을 지켜봤다. 긴장되지만 결의를 다진 채 오늘 그곳에 도착했다."
Chapter 11 Content,"  <b>55일째</b>

이 건조 지대에는 자원이 거의 없고 길들이기에 쓸 먹이도 바닥났다... {heat_tiger_name} 무리의 끊임없는 습격에 팀의 수가 줄어들고 있다. 절벽 곳곳에 매복이 기다려 되돌아가는 것조차 불가능하다. 이대로라면 얼마나 더 살아남을지 모르겠다...

그래도 마지막 희망이 하나 있다. 덤불 속에서 황금 딱정벌레를 발견했다. 돌연변이를 일으키는 이빨로 크리처의 잠재력을 완전히 해방한다고 전해지는 녀석이다. 헛된 이야기일 가능성이 높지만 목숨이 위험한 지금은 미신에 기대는 한이 있더라도 작은 희망 하나가 소중하다. 반드시 잡아야 한다."
Chapter 12 Content,"  <b>55일째: 2</b>

딱정벌레를 붙잡고, 손안에서 꿈틀거리는 녀석을 쥔 채 내 개에게 손을 뻗었다.

주사기가 {alpino_name}에게 한 짓을 떠올리며 망설였다. 하지만 다른 선택지는 없었다. 딱정벌레가 물었다.

끔찍할 만큼 긴 과정 속에서 개의 팔다리는 운동선수처럼 늘어나고 주둥이는 길어졌으며 면도날 같은 이빨이 돋아났다. 다정했던 눈빛은 서서히 차갑고 살기 어린 눈으로 바뀌었다. 몇 시간이 지나자 {lantern_dog_name}은(는) 사라지고... {lantern_hound_name}이(가) 태어났다.

그 불쌍한 생명체에게 고통을 준 것이 분명하다... 나는 이기적인 야만인인가? 아니면 발견의 가치가 수단을 정당화할까?"
