Key,Value
When Placed Applies X Token for X Turns to its Team,"배치 시, {number_turns}턴 동안 팀에 {number}{token}을(를) 부여합니다."
Vampirism,피해를 줄 때 체력을 1{icons.hp} 회복합니다.
Evasive,배치 시 또는 후퇴 시 카드 1장을 뽑습니다.
Nap,후퇴 시 체력을 4{icons.hp} 회복합니다.
Rocky Shell,남은 체력이 1{icons.hp}인 경우를 제외하면 한 번의 공격으로 죽지 않습니다(전투당 1회).
Regeneration,매 턴 종료 시 체력을 1{icons.hp} 회복합니다.
Apex Predator,적을 죽이면 {icons.attack_plus}와(과) {icons.speed_plus}을(를) 얻습니다.
"When Placed, Gains X Token for X Turns","배치 시, {number_turns}턴 동안 {number}{token}을(를) 얻습니다."
"When an Ally Gets Healed, Gains Token",아군이 체력을 회복하면 {token}을(를) 얻습니다.
Opposing Enemy Has X Token,맞은편 적에게 {amount}{token}이(가) 있습니다.
Determination,체력이 최대 {icons.hp}일 때 2 {icons.attack_plus}을(를) 가집니다.
Vengeful,아군이 죽으면 2 {icons.attack_plus}을(를) 얻습니다.
Light-Headed,한 턴 걸러 한 번씩만 공격할 수 있습니다.
Venom Cure,중독 {icons.poison} 피해를 받는 대신 그만큼 체력을 회복합니다.
Fortitude,부정 효과에 면역입니다.
Imitator,배치 시 왼쪽 아군의 기술을 얻습니다.
Inflicts Token When Attacking,공격 후 대상에게 {token}을(를) 부여합니다.
Wind of Change,보드에서 가장 느린 아군이 {icons.dexterity}을(를) 가집니다.
"For Each Token1, Also Has Token2",자신이 가진 {token1} 하나당 {token2}도 하나씩 가집니다.
Peripheral Vision,다른 라인에서 오는 피해를 절반으로 줄입니다(소수점 버림).
Haunting Presence,배치 시 모든 적에게 피해를 1 줍니다.
Sleep Trap,배치 시 맞은편 적이 <u>더 느리면</u> 수면 {icons.sleep}에 빠뜨립니다.
Thick Hide v2,한 번에 {minDamage}~{maxDamage}의 피해를 받으려 할 때 피해를 {reducedDamage}(으)로 줄입니다.
Deals Damage When Placed,배치 시 맞은편 적에게 피해를 {damage_number} 줍니다.
"When Attacked, Inflicts Token to the Attacker",공격받을 때 공격자에게 {token}을(를) 부여합니다.
Adjacent Creatures Have X Token,인접한 크리처가 {amount}{token}을(를) 가집니다.
Inflicts X Token When Placed,배치 시 맞은편 적에게 {number}{token_name}을(를) 부여합니다.
"When Attacked, Gains Token",공격받을 때 {token}을(를) 얻습니다.
Curing Bristles,배치 시 모든 아군의 부정 효과를 제거합니다.
Slow Start,배치 시 수면 {icons.sleep}에 빠집니다.
Eerie Screech,배치 시 모든 적의 긍정적 능력치 변화를 제거합니다.
Passive Aggressive,매 턴 2 {icons.speed_plus}와(과) 2 {icons.defense_plus} 상태를 번갈아 가집니다.
Gains X Token On Kill,적을 죽이면 {number}{token}을(를) 얻습니다.
Adrenaline,체력이 2{icons.hp} 이하일 때 3 {icons.attack_plus}을(를) 가집니다.
Galvanizing,배치 시 또는 후퇴 시 아군에게 1턴 동안 {icons.attack_plus}을(를) 부여합니다.
