Key,Value
Nap Notification,{owner_name}이(가) 낮잠을 자며 체력을 4{icons.hp} 회복합니다!
Rocky Shell Message,{owner_name}이(가) {talent_name} 덕분에 공격을 버텼습니다!
Turbo Message,{owner_name}의 움직임이 빨라집니다!
Positive Feedback Message,{owner_name}은(는) 아군이 회복하는 모습을 보니 기쁩니다!
Imitate Message,{owner_name}이(가) 아군을 따라 합니다!
Gigantic Message,{owner_name}은(는) 꿈쩍도 하지 않습니다!
Peripheral Vision Message,{owner_name}은(는) 공격이 올 것을 알고 있었습니다!
Vengeful Message,아군의 죽음에 {owner_name}이(가) 격노합니다!
Protective Instinct Message,{owner_name}이(가) 아군 대신 공격을 받습니다!
Ambusher Message,{owner_name}이(가) 적을 기습합니다!
Haunting Presence Message,{owner_name}의 존재감이 적들을 겁에 질리게 합니다!
Thick Hide Message,{owner_name}의 가죽이 피해를 줄입니다!
Tongue Wiggle Message,{owner_name}이(가) 운 좋게 한 번 더 공격했습니다!
Clumsy Strike Message,{owner_name}이(가) 운 좋게 추가 피해를 줍니다!
Ever-Growing Message,{owner_name}이(가) 자라납니다...
Fast Predator Message,{owner_name}의 공격력이 속도에 따라 증가합니다!
Regeneration Message,{owner_name}이(가) 스스로를 치유합니다!
Apex Predator Message,{owner_name}이(가) 더욱 강해집니다!
Venom Cure Message,중독 {icons.poison}이(가) {owner_name}을(를) 치유합니다!
Toxic Thorns Message,{owner_name}이(가) 공격자를 중독 {icons.poison}시킵니다!
Searing Skin Message,{owner_name}이(가) 공격자에게 화상을 입힙니다!
Vampirism Message,{owner_name}이(가) 대상의 피를 빨아 체력을 회복합니다!
Deimatic Talent Effect,{owner_name}이(가) 무시무시한 피부 무늬로 적을 위협합니다!
Sleeping Spores Talent Effect,{owner_name}의 적이 더 느려 수면 {icons.sleep}에 빠집니다!
Tracker Talent Effect,{owner_name}이(가) 적을 취약하게 만듭니다 {icons.defense_minus}!
Rush Talent Effect,{owner_name}의 움직임이 이번 턴에 빨라집니다!
Toxic Stare Talent Effect,{owner_name}이(가) 적을 중독 {icons.poison}시킵니다!
Hot Temper Message,공격을 받은 {owner_name}이(가) 분노합니다!
Magic Mustache Message,{owner_name}이(가) 아군을 치료합니다!
Slow Start Message,{owner_name}은(는) 깊이 잠들어 있습니다... 아직은요.
Cellular Adaptation,{owner_name}이(가) 심연에서 새로운 특성을 얻습니다!
Force Field Message,{owner_name}이(가) 아군 주위에 역장을 펼칩니다!
Hard-Headed Message,이번 턴에 {owner_name}의 방어력이 증가합니다!
Eerie Screech Message,{owner_name}이(가) 적의 긍정적인 능력치 변화를 제거합니다!
Trap Beak Message,대상이 더 느리므로 {owner_name}의 기술이 추가 피해를 줍니다!
Trap Fangs Message,대상이 더 빠르므로 {owner_name}의 기술이 추가 피해를 줍니다!
Poison Beak Message,대상이 더 느리므로 {owner_name}의 기술이 {icons.defense_minus}을(를) 부여합니다.
Venomous Bite Message,{owner_name}이(가) 운 좋게 대상을 중독 {icons.poison}시킵니다!
Removes Positive Effects Message,{owner_name}이(가) 대상의 긍정 효과를 제거합니다!
Combat Stance Message 1,이번 턴에 {owner_name}의 움직임이 빨라집니다!
Combat Stance Message 2,이번 턴에 {owner_name}의 방어력이 증가합니다!
Bloodthirsty Message,{owner_name}이(가) 점점 강해집니다!
Galvanizing Message,{owner_name}이(가) 아군의 사기를 북돋습니다!
Protection Message,보호 덕분에 {owner_name}이(가) 피해를 1만 받습니다!
Defensive Message,{owner_name}이(가) 보호 {icons.protection} 하나를 얻습니다!
Fortress Message,{owner_name}이(가) 보호 {icons.protection} 하나를 얻습니다!
Hydrodynamic Message,이번 턴에 {owner_name}이(가) 먼저 공격합니다!
Magnify Message,이번 턴에 아군도 사용했으므로 {magnify_name}의 위력이 크게 증가합니다!
Mushroom Madness Message,{owner_name}이(가) 부정 효과 {number_of_removed_effects}개를 제거하고 {number_of_removed_effects}회 추가로 공격합니다!
Board Token Replace Message,보드 위의 모든 {source}와(과) {target}이(가) 서로 뒤바뀝니다!
Self Hurt Message,{owner_name}이(가) 스스로에게 상처를 입힙니다!
Defensive Surge Message,{owner_name}의 비늘이 더 자라납니다!
Fear Bonding Message,아군이 부정 효과를 받는 모습을 본 {owner_name}이(가) 강해집니다!
Biohazard Message,{owner_name}의 사체가 적을 중독 {icons.poison}시킵니다!
Poisoner Message,중독 {icons.poison}의 냄새가 {owner_name}을(를) 강하게 만듭니다!
Biotoxic Swipe Message,대상이 중독 {icons.poison} 상태라 {owner_name}이(가) 3배의 피해를 줍니다!
Tail Shelter Message,{owner_name}이(가) 공격 후 꼬리를 떼어 냅니다!
Repeated Strike Message,{move_name}의 위력이 증가합니다!
Entrench Message After,{owner_name}와(과) 아군이 참호에 들어갔습니다!
Entrench Message Before,{owner_name}이(가) 다음 턴을 위한 참호를 준비합니다...
Resentful Message,{owner_name}이(가) 맞은편 적에게 부정 효과를 옮깁니다!
Predation Message,대상의 속도가 느려져 {owner_name}이(가) 한 번 더 공격합니다!
Devils Advocate Message,{owner_name}이(가) 능력치 변화를 반전시킵니다!
Ethereal Message,{owner_name}이(가) 복제체를 남깁니다!
Cruel Stomp Message,대상에게 {token}이(가) 있어 {owner_name}이(가) 추가 피해를 줍니다!
Peer Learning Message,{owner_name}이(가) 아군의 효과를 얻습니다!
Assimilator Message,{owner_name}이(가) 적의 특성을 얻습니다!
Transmission Message,{owner_name}이(가) 자신의 긍정 효과를 아군에게 나눠 줍니다!
Acquired State Message,{owner_name}이(가) 상대의 긍정 효과를 빼앗습니다!
Hot-Blooded Talent Effect,이번 턴에 {owner_name}이(가) 더 강하게 공격합니다!
Hypersensitive Message,{owner_name}이(가) 효과를 2배로 만듭니다!
Team Spirit Message,{owner_name}은(는) 친구를 만나 기쁩니다!
Cloning Message,{owner_name}이(가) 복제체를 준비합니다!
Tentacle Message,{owner_name}이(가) 촉수를 땅속에 숨깁니다!
Item Received Message,{item_name}이(가) 소지품에 추가되었습니다!
Critical Strike Message,대상이 취약하여 {owner_name}이(가) 여러 번 공격합니다!
Assailant message,{owner_name}이(가) 적에게 맹공을 퍼붓습니다!
Frightening Message,{owner_name}이(가) 적들을 겁에 질리게 합니다!
Egg Hatch Message,알이 곧 부화하려 합니다!
Egg Hatch Message 2,알에서 {creature_name}이(가) 태어났습니다!
Deft Message,{owner_name}이(가) 상태 기술을 사용해 우선권을 얻습니다!
Pain Harvester Message,{owner_name}이(가) 체력을 회복합니다!
Undying Message,{owner_name}이(가) 죽음에서 돌아옵니다!
Observed Token Message,{owner_name}이(가) 의문스러운 죽음을 맞았습니다... {icons.observed}
Adaptive Message,{owner_name}이(가) 모든 기술을 익힙니다...
Neural Accumulation Message,{owner_name}이(가) 전력을 다한 정신 공격을 펼칩니다!
Detection Message,{owner_name}이(가) 적을 탐지했습니다 {icons.detected}.
Sightless Swipe Fail Message,{owner_name}이(가) 아무도 탐지 {icons.detected}하지 못해 기술이 실패합니다!
Oineric Message,{owner_name}이(가) 새로운 기술을 꿈꿉니다!
Callouses Message,{owner_name}의 피부가 단단해집니다 {icons.armor}!
Gains Armor Message,{owner_name}이(가) 방어막 {icons.armor}을(를) 얻습니다!
Spiky Scales Message,{owner_name}의 비늘이 공격자에게 상처를 입힙니다!
Deals double damage because it has token,{owner_name}에게 {token}이(가) 있어 2배의 피해를 줍니다!
Anesthetic Gas Before Message,{owner_name}이(가) 가스를 방출할 준비를 합니다...
Anesthetic Gas After Message,{owner_name}이(가) 수면 가스 {icons.sleep}을(를) 방출합니다!
Blight Message,아군 일부가 죽어 {owner_name}이(가) 더 강하게 공격합니다!
