Key,Value
Vampirism,흡혈
No Talent,- 특성 없음 -
Nap,낮잠
Rocky Shell,암석 껍질
Regeneration,재생
Turbo,터보
Apex Predator,최상위 포식자
Rush,쇄도
Positive Feedback,양성 되먹임
Lantern,등불
Menacing Aura,위압의 오라
Deimatic,위협 과시
Determination,결의
Vengeful,복수심
Toxic Stare,맹독의 시선
Light-Headed,현기증
Pheromones,페로몬
Venom Cure,해독
Resilience,회복력
Fortitude,불굴
Imitate,모방자
Venomous,맹독성
Wind of Change,변화의 바람
Fast Predator,날쌘 포식자
Smoke Bomb,연막탄
Peripheral Vision,주변 시야
Haunting Presence,섬뜩한 존재감
Sleep Trap,수면 덫
Ever-Growing,끝없는 성장
Thick Hide,두꺼운 가죽
Ambusher,매복자
Warden,감시자
Toxic Thorns,맹독 가시
Breeze,산들바람
Tracker,추적자
Hot Temper,불같은 성미
Magic Mustache,치유의 털
Slow Start,인내
Force Field,역장
Hard-Headed,돌머리
Eerie Screech,섬뜩한 괴성
Combat Stance,소극적 공격성
Bloodthirsty,피에 굶주림
Adrenaline,아드레날린
Galvanizing,고무
Defensive,방어적
Fortress,요새
Deft,능숙함
Fume Sniffer,연기 탐지자
Sonar,음파 탐지
Agile,민첩함
Scale Surge,비늘 쇄도
Fear Bonding,공포의 유대
Biohazard,생물재해
Antibodies,항체
Poisoner,독술사
Tail Shelter,꼬리 엄폐
The World,더 월드
Resentful,원한
Devil's Advocate,악마의 대변인
Ethereal,영체
Peer Learning,동료 학습
Assimilator,동화자
Transmission,군집 본능
Subzero,영하
Glow Mark,발광 표식
Hot-Blooded,뜨거운 피
Hypersensitive,과민 반응
Team Spirit,팀 정신
Omnipresence,편재
Timid,겁쟁이
Sluggish,굼뜸
Faint-Hearted,소심함
Sticky,끈적임
Bad Teammate,짐
Mood Ruiner,흉측함
Easy Prey,만만한 먹잇감
Rat King,쥐의 왕
Chandelier,샹들리에
Assailant,공격자
Frightening,두려운 존재
Guidelight,인도광
Pain Harvester,고통 수확자
Undying,불사
Abyss Cure,심연의 치유
Dreamer,몽환
Detection,탐지
Hyperstimulation,과잉 자극
Calluses,굳은살
Carapace,등딱지
Spiky Scales,가시 비늘
Pollinator,수분 매개자
Insomniac,불면증
Unwavering,동요하지 않음
Duelist,결투가
Inkstain,먹물 자국
Ink Trap,먹물 덫
Toxic Coil,맹독 똬리
Noxious Beast,독성 야수
Blinding Radiance,눈부신 광휘
Iron-Blooded,강철 혈통
Leech Aura,거머리 왕
Calcification,석회화
Endless Shell,무한 껍질
Zappy,짜릿함
Reactive,반응성
Mystic Presence,신비로운 존재감
Everlasting,영속
ice Wall,얼음 장벽
Snow Cover,눈 덮개
Reinvigorating Spirit,원기 회복
Opportunist,기회주의자
Sadistic,가학적
Icebreaker,쇄빙선
Enzymes,효소
Quick Fangs,날쌘 송곳니
Venom Spray,맹독 분사
Nyctinasty,취면 운동
Frosty,서리 기운
Optimistic,낙천적
Crafty,교활함
Made In Heaven,메이드 인 헤븐
End Of Eternity,영원의 끝
Timeless,탯줄 뿌리
Keratin,케라틴
Nightmare Fuel,악몽의 원천
Slumbering,잠든 자
Bleeding,출혈
Charismatic,매력적
Sneaky,은밀함
Withering,쇠약
Burden of Life,삶의 짐
Born in Heaven,천상 태생
Starving,굶주림
Ink Flood,먹물 범람
Exponential Growth,초성장
Made in Hell,메이드 인 헬
Ever Evolving,끊임없는 진화
Sleep Striker,수면 타격자
Sleep Sucker,수면 흡수자
